id	parent_id	tiu_id_item	type	slug	name_ru	name_en	name_zh_cn	name_zh_tw	image	short_description	description	meta_title	meta_description	meta_keywords	status	sort	price_min	price_max	country	currency	unit	payment	amount_min	address_name	address_lat	address_long	left_id	right_id
1	null	null	tovary	tovary	Товары	Goods	货	貨	null						1	1	null	null									1	6965
2	null	null	uslugi	uslugi	Услуги	Services	服务	服務	null						0	2	null	null									6965	8249
3	2	serv_1	uslugi	inzhenerno-stroitelnye-uslugi	Инженерно-строительные услуги	Engineering and construction services	工程与建筑服务	工程與建築服務	null						1	3	0	2147483647	347246								6966	7193
4	2	serv_2	uslugi	uslugi-prokata-i-arendy	Услуги проката и аренды	Rental and lease	出租和租赁	出租和租賃	null						1	4	0	100000000	347230	6:4	695	2	1				7193	7282
5	2	serv_3	uslugi	remont-i-obsluzhivanie-tehniki-i-oborudovaniya	Ремонт и обслуживание техники и оборудования	Repair and maintenance of machinery and equipment	维修和保养机械设备	維修和保養機械設備	null						1	5	0	10000000									7282	7332
6	2	serv_4	uslugi	delovye-uslugi	Деловые услуги	Business services	商务服务	商務服務	null						1	6	0	370000000									7332	7553
7	2	serv_5	uslugi	bytovye-uslugi	Бытовые услуги	Domestic services	生活服务	生活服務	null						1	7	0	27967665									7553	7610
8	2	serv_6	uslugi	logisticheskie-i-skladskie-uslugi	Логистические и складские услуги	Transportation and Warehousing	交通运输，仓储业	交通運輸，倉儲業	null						1	8	0	21984604	347259	4	695	3	1				7610	7668
9	2	serv_7	uslugi	promyshlennye-uslugi	Промышленные услуги	Industrial Services	工业服务	工業服務	null						1	9	0	216917620									7668	7761
10	2	serv_8	uslugi	uslugi-dosuga-otdyha-kultury	Услуги досуга, отдыха, культуры				null						1	10	0	32866193									7761	7850
11	2	serv_9	uslugi	uslugi-v-sfere-mediciny-zdorovya-i-krasoty	Услуги в сфере медицины, здоровья и красоты	Services in the field of medicine, health and beauty	在医药，保健和美容领域的服务	在醫藥，保健和美容領域的服務	null						1	11	0	5984050									7850	7897
12	2	serv_10	uslugi	poligraficheskie-i-dizaynerskie-uslugi	Полиграфические и дизайнерские услуги	Printing and design services	投资咨询	印刷及設計服務	null						1	12	0	4900100									7897	7937
13	2	serv_11	uslugi	uslugi-v-sfere-obrazovaniya-treningi	Услуги в сфере образования, тренинги	Services in the field of education, training	环境信息系统分析	在教育領域的服務，培訓	null						1	13	0	3500000									7937	7995
14	2	serv_12	uslugi	reklama-marketing-pr	Реклама, маркетинг, pr	Advertising, marketing, pr	办理外国护照	廣告，營銷，公關	null						1	14	0	32452959	347259								7995	8047
15	2	serv_13	uslugi	arenda-nedvizhimosti-rieltorskie-uslugi	Аренда недвижимости, риэлторские услуги	Real estate for rent, real estate services	出国留学	出租，房地產服務房地產	null						1	15	0	855000000	347259								8047	8054
16	2	serv_14	uslugi	ohrannye-avariynye-i-ekstrennye-sluzhby	Охранные, аварийные и экстренные службы	Security, emergency and emergency services	修理和维修家电	安全，應急和緊急服務	null						1	16	0	17378325									8054	8077
17	2	serv_15	uslugi	zashchita-okruzhayushchey-sredy	Защита окружающей среды	Environment protection	服务产品密钥	環境保護	null						1	17	0	6000000									8077	8088
18	2	serv_16	uslugi	informacionno-kommunikacionnye-uslugi	Информационно-коммуникационные услуги	Information and communication services	缝制和维修产品的服务	信息和通信服務	null						1	18	0	26250750									8088	8115
19	2	serv_17	uslugi	kommunalnye-uslugi	Коммунальные услуги	Utilities	处理	公用事業	null						1	19	0	300000	347259								8115	8116
20	2	serv_18	uslugi	selskohozyaystvennye-uslugi	Сельскохозяйственные услуги	Agricultural services	铁路货物运输	農業服務	null						1	20	0	5000000									8116	8125
21	2	serv_19	uslugi	strahovanie	Страхование	Coverage	仓储	覆蓋範圍	null						1	21	0	500000									8125	8138
